"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"SBIN","19-Sep-2016","27-Oct-2016","CE","250","15","15","15","15","15","15","1","7.95",".45","180000","3000","255.65"
"SBIN","20-Sep-2016","27-Oct-2016","CE","250","14.5","14.5","13.4","13.4","13.4","13.4","2","15.84",".84","183000","3000","254.45"
"SBIN","21-Sep-2016","27-Oct-2016","CE","250","13.6","13.7","10.65","11.25","11.95","11.25","16","125.63","5.63","210000","27000","251.15"
"SBIN","22-Sep-2016","27-Oct-2016","CE","250","13.55","15.1","13","15.1","15","15.1","150","1188.19","63.19","366000","156000","257.9"
"SBIN","23-Sep-2016","27-Oct-2016","CE","250","13.5","15.15","12.45","12.55","12.5","12.55","82","648.95","33.95","552000","186000","254.55"
"SBIN","26-Sep-2016","27-Oct-2016","CE","250","11.45","12.25","10.05","10.55","10.65","10.55","218","1706.76","71.76","918000","366000","251.65"
"SBIN","27-Sep-2016","27-Oct-2016","CE","250","11.65","11.65","8.8","9","9","9","196","1527.76","57.76","1140000","222000","249"
"SBIN","28-Sep-2016","27-Oct-2016","CE","250","9.35","13.6","8.4","12.3","12.35","12.3","558","4383.54","198.54","1734000","594000","-"
"SBIN","29-Sep-2016","27-Oct-2016","CE","250","13.3","13.7","7.55","9.1","9.3","9.1","918","7156.26","271.26","1668000","-66000","247.25"
"SBIN","30-Sep-2016","27-Oct-2016","CE","250","8.55","11","8.3","10.1","10.3","10.1","1423","11093.6","421.1","1815000","147000","251.25"
